OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,LotArea,Neighborhood,HouseStyle,CentralAir,SalePrice
8,1910,2,619,2,1964,10989,Suburb,2Story,Y,343526.0
3,2030,3,2378,3,1952,2779,Rural,2Story,Y,286619.0
1,3828,3,2380,1,2019,17351,Downtown,1Story,Y,434272.0
8,1069,0,2097,3,1966,13042,Uptown,SplitLevel,N,312584.0
3,4463,3,1546,3,1975,7534,Uptown,1Story,Y,443084.0
3,1433,0,862,3,1970,5306,Suburb,Bungalow,N,209702.0
1,4098,1,1691,2,2021,4902,Uptown,1Story,Y,376726.0
5,3733,3,1605,2,1970,15391,Downtown,2Story,Y,472244.0
10,2480,3,2319,3,1960,5718,Suburb,1Story,Y,466378.0
7,3734,1,579,3,1987,2021,Riverside,SplitLevel,Y,466922.0
10,2355,1,1890,1,2021,3500,Riverside,2Story,Y,449958.0
9,3556,1,1275,1,1984,11034,Suburb,Bungalow,Y,486198.0
7,1292,3,1855,2,1963,17799,Riverside,SplitLevel,Y,351606.0
9,1291,2,2493,2,1963,5641,Suburb,2Story,Y,382705.0
8,4095,2,1355,1,1959,2191,Suburb,Bungalow,Y,459594.0
2,2309,2,1162,3,1961,15306,Suburb,SplitLevel,Y,275739.0
1,1794,3,356,2,1987,15414,Riverside,Bungalow,Y,237622.0
7,3039,1,1624,3,1983,10587,Downtown,1Story,Y,414776.0
7,2755,3,2321,1,1990,6662,Rural,1Story,N,392749.0
8,4110,1,2006,2,1959,6326,Rural,Bungalow,N,426006.0
5,2107,3,2358,2,1966,11065,Uptown,1Story,N,386565.0
3,1583,3,869,1,1966,12471,Suburb,Bungalow,Y,251338.0
8,2977,1,885,2,2016,14641,Suburb,SplitLevel,Y,404874.0
6,1484,2,2001,1,2011,11196,Downtown,2Story,Y,345968.0
3,2180,1,2201,2,1950,14726,Rural,Bungalow,Y,273869.0
1,4176,0,1413,1,1961,17651,Uptown,2Story,Y,342517.0
3,3880,0,1283,2,1953,10536,Rural,2Story,Y,340613.0
5,1019,1,619,3,1991,14944,Uptown,Bungalow,Y,258396.0
3,1090,3,882,3,1962,8273,Downtown,1Story,Y,257515.0
1,1550,0,796,3,1953,8284,Riverside,SplitLevel,Y,209477.0
5,2209,0,2172,2,2018,10817,Rural,2Story,Y,320575.0
10,4133,3,1296,2,1968,10414,Downtown,SplitLevel,Y,580222.0
7,2535,3,618,3,1951,19127,Suburb,2Story,Y,373177.0
7,2746,2,1834,3,1961,18846,Uptown,Bungalow,Y,437652.0
9,2934,3,244,1,1955,19952,Riverside,1Story,N,455073.0
10,848,1,2497,1,1957,13539,Suburb,SplitLevel,Y,348365.0
10,1459,1,929,1,2000,15993,Uptown,2Story,Y,396229.0
3,2463,2,1270,3,1960,15451,Downtown,Bungalow,N,347478.0
7,1192,0,519,3,2012,16692,Downtown,Bungalow,Y,359097.0
1,2059,0,2409,3,2006,15334,Rural,2Story,Y,241237.0
4,4399,3,7,1,1961,9903,Rural,2Story,Y,353390.0
4,877,1,2019,2,2022,17629,Uptown,2Story,Y,275140.0
5,3446,0,494,3,1951,19740,Suburb,1Story,Y,381153.0
7,3463,2,1629,2,1957,3014,Downtown,2Story,Y,437123.0
7,4129,2,1062,2,1960,12860,Suburb,2Story,Y,458459.0
4,1026,1,186,2,2002,19438,Downtown,1Story,Y,274038.0
7,3724,2,1877,1,1959,3764,Downtown,Bungalow,N,455207.0
3,3281,2,2140,2,1957,8009,Suburb,2Story,Y,366271.0
6,2753,1,85,3,1985,11604,Suburb,SplitLevel,Y,367887.0
2,3002,3,136,1,1963,18012,Suburb,Bungalow,N,305572.0
10,3844,3,2468,3,2003,2667,Rural,SplitLevel,Y,493468.0
9,4465,2,2121,3,1970,5370,Downtown,2Story,Y,577238.0
5,1759,3,1636,1,1999,7976,Downtown,1Story,Y,355491.0
6,2375,3,2218,3,1988,19778,Rural,1Story,Y,374338.0
4,2263,2,1751,3,1969,10613,Downtown,1Story,Y,369804.0
10,1020,3,2217,1,1956,7599,Rural,2Story,Y,339800.0
7,2201,2,1787,3,1958,5650,Downtown,2Story,Y,404307.0
9,1516,0,871,2,1950,14349,Suburb,SplitLevel,Y,321259.0
7,3503,1,2369,3,1975,11894,Downtown,1Story,Y,493987.0
1,4402,1,943,2,1987,5190,Downtown,2Story,N,413859.0
1,3273,3,1626,3,1987,17345,Rural,Bungalow,Y,317768.0
9,1513,3,348,1,2010,10789,Riverside,2Story,Y,389068.0
9,3048,3,1676,1,1993,2391,Downtown,2Story,Y,487229.0
4,616,1,1196,3,1993,19459,Suburb,Bungalow,Y,227878.0
9,2933,0,9,1,2011,4650,Uptown,1Story,Y,409321.0
3,1867,0,1461,3,1955,15600,Suburb,Bungalow,Y,269552.0
7,1083,1,666,1,1966,16317,Uptown,1Story,Y,311989.0
6,894,0,1522,2,2000,19193,Downtown,Bungalow,Y,354100.0
8,1587,1,2176,3,1987,17563,Riverside,SplitLevel,Y,396069.0
9,4288,0,600,2,1973,8895,Suburb,1Story,Y,463620.0
5,3268,2,326,2,2000,19543,Suburb,2Story,N,357756.0
1,571,2,979,3,1959,3531,Riverside,SplitLevel,Y,162655.0
3,4360,1,2451,2,2021,7481,Rural,1Story,Y,389420.0
10,773,0,628,3,1970,12874,Suburb,1Story,Y,327755.0
8,2513,3,1629,2,2019,8163,Uptown,1Story,Y,455218.0
6,1843,0,273,3,2006,7264,Rural,Bungalow,Y,269331.0
8,837,2,684,3,1988,19615,Downtown,1Story,Y,366398.0
9,1889,2,115,1,1982,17890,Rural,2Story,Y,338601.0
4,4066,0,860,3,2008,13767,Downtown,1Story,N,464894.0
1,1106,0,2003,3,1967,10071,Uptown,2Story,Y,227488.0
1,665,3,692,2,2005,17540,Riverside,2Story,N,210659.0
10,2067,3,1105,3,2006,4908,Suburb,2Story,Y,404225.0
4,2558,0,2371,1,1997,6712,Suburb,SplitLevel,Y,311709.0
7,1824,0,2161,2,1991,14190,Downtown,2Story,Y,397308.0
2,1228,0,1792,2,1976,12150,Downtown,Bungalow,Y,229167.0
3,3348,0,153,1,2001,6491,Riverside,1Story,Y,316869.0
1,2543,1,1900,2,1991,15919,Downtown,Bungalow,Y,345735.0
5,601,0,1427,2,1981,16168,Suburb,SplitLevel,Y,227459.0
1,3996,3,1289,2,1975,10593,Uptown,1Story,Y,367804.0
8,1915,2,314,2,1974,19358,Riverside,2Story,N,378855.0
1,1278,1,1064,1,1972,18607,Suburb,1Story,Y,229183.0
1,713,0,104,1,2006,6613,Rural,SplitLevel,N,80885.0
2,4262,2,1924,2,2001,13426,Rural,SplitLevel,Y,402689.0
2,1611,1,1913,2,1980,18609,Riverside,Bungalow,N,253781.0
6,2076,2,1216,1,2013,10183,Rural,1Story,Y,311987.0
7,2948,0,1424,1,2020,19725,Rural,1Story,Y,381171.0
5,3135,0,2401,1,1982,10401,Downtown,1Story,Y,403917.0
1,3436,3,1772,2,1951,5727,Downtown,Bungalow,Y,378441.0
1,3617,0,1960,2,1967,15703,Rural,SplitLevel,Y,283694.0
3,2195,0,1603,3,1996,12218,Riverside,2Story,Y,315838.0
2,4034,1,708,1,1982,2393,Riverside,1Story,Y,370332.0
5,1091,3,650,2,1984,17992,Riverside,Bungalow,Y,306075.0
10,1833,1,946,1,2000,11035,Suburb,Bungalow,Y,392656.0
6,1609,2,660,2,1967,11716,Uptown,2Story,Y,346148.0
7,2639,0,2146,1,2021,10795,Uptown,SplitLevel,Y,413263.0
4,4231,2,2329,2,1979,2581,Rural,1Story,N,372986.0
7,3220,1,2450,3,1993,16330,Suburb,1Story,Y,459523.0
8,1213,0,1132,3,2002,12131,Suburb,Bungalow,Y,324265.0
1,1435,0,699,1,1959,2132,Riverside,SplitLevel,N,137066.0
6,2451,1,2246,2,2001,16984,Suburb,1Story,Y,372624.0
8,741,1,2038,2,1998,5385,Riverside,2Story,Y,305203.0
5,2543,1,2374,1,1960,5770,Suburb,SplitLevel,Y,330782.0
4,4436,1,2201,2,2015,4268,Uptown,SplitLevel,Y,461634.0
2,501,1,551,1,2007,2975,Rural,Bungalow,Y,115444.0
6,2772,0,404,2,1985,9605,Uptown,Bungalow,Y,353765.0
6,3348,1,461,1,1982,9213,Suburb,1Story,Y,359970.0
1,2268,0,2179,2,1996,13455,Riverside,Bungalow,Y,292964.0
9,2449,0,873,1,1962,4835,Rural,SplitLevel,Y,341756.0
6,3136,1,83,2,1989,4738,Suburb,1Story,N,356147.0
3,2663,1,1422,3,2017,11549,Rural,1Story,Y,331014.0
4,4237,3,220,2,1991,6134,Suburb,SplitLevel,N,404379.0
4,1417,0,1391,1,1968,8833,Suburb,1Story,N,227905.0
3,3674,1,111,3,1968,10353,Suburb,2Story,Y,345632.0
10,2741,1,614,2,2007,17690,Riverside,2Story,Y,464152.0
3,3737,1,1581,3,1972,3909,Suburb,1Story,Y,380855.0
3,3418,3,474,2,2003,16496,Rural,Bungalow,N,332443.0
4,589,3,1913,3,2014,14062,Suburb,2Story,Y,239804.0
7,2209,2,270,1,1961,11850,Suburb,1Story,N,322419.0
4,2669,0,2468,2,1973,3963,Riverside,2Story,Y,348022.0
9,642,2,1920,2,1983,7153,Rural,Bungalow,Y,315903.0
1,3541,1,1390,1,2002,12481,Riverside,SplitLevel,Y,332088.0
8,605,3,39,3,1957,2966,Suburb,1Story,Y,246075.0
7,1386,3,1982,1,1967,2889,Downtown,1Story,Y,359269.0
2,927,2,2236,1,2006,8461,Riverside,1Story,Y,252190.0
8,1828,3,993,3,1954,8166,Rural,1Story,Y,327948.0
1,2395,1,2012,1,1975,18006,Downtown,1Story,Y,349220.0
9,2494,3,289,2,1979,13381,Suburb,1Story,N,436934.0
9,816,2,2480,2,2003,18344,Uptown,Bungalow,N,380809.0
2,2486,1,278,2,1962,12940,Suburb,SplitLevel,Y,265101.0
7,1134,2,580,1,1978,13258,Rural,Bungalow,Y,281788.0
10,2425,3,862,2,1952,9280,Suburb,Bungalow,Y,422787.0
3,2556,2,253,2,2007,3067,Suburb,SplitLevel,Y,279279.0
7,3321,2,180,2,1951,13115,Riverside,Bungalow,Y,430561.0
10,3644,0,680,2,1977,11018,Suburb,2Story,Y,477613.0
9,3930,3,824,2,1951,17753,Suburb,Bungalow,Y,488449.0
4,2770,3,699,2,1956,16178,Uptown,1Story,N,359584.0
1,1939,2,1349,1,1975,17187,Suburb,2Story,Y,245505.0
2,1052,0,1380,2,1965,6607,Suburb,2Story,Y,182094.0
1,3941,3,1673,2,1972,5985,Rural,SplitLevel,Y,321005.0
5,1215,1,2438,3,1989,12284,Suburb,Bungalow,Y,305532.0
5,1787,2,1638,1,2009,16554,Suburb,Bungalow,Y,322588.0
7,4411,3,1957,1,2022,6538,Suburb,2Story,Y,515423.0
9,2213,1,211,1,1981,8371,Rural,Bungalow,Y,346089.0
9,2383,3,1538,1,1964,3726,Rural,Bungalow,N,371087.0
3,3889,1,383,2,1962,7791,Rural,SplitLevel,Y,325572.0
3,1607,2,1714,2,1954,10458,Downtown,2Story,N,282434.0
3,1841,3,341,3,2001,19221,Rural,1Story,Y,279822.0
4,610,3,1838,3,1990,17738,Riverside,2Story,N,261189.0
8,750,0,1987,1,2002,19070,Suburb,SplitLevel,Y,290015.0
6,2930,2,843,3,1999,18740,Uptown,SplitLevel,Y,409755.0
8,2554,1,1534,3,1964,11063,Rural,SplitLevel,Y,389458.0
1,958,3,419,1,1956,12165,Riverside,Bungalow,Y,193001.0
8,1607,3,1988,1,1989,16539,Riverside,2Story,Y,415333.0
4,707,1,1932,3,1977,17572,Downtown,Bungalow,Y,267137.0
1,1399,2,1849,2,1981,6647,Suburb,Bungalow,Y,255999.0
8,3961,0,305,3,1964,12002,Suburb,2Story,Y,444903.0
4,3885,0,868,3,2019,12833,Suburb,SplitLevel,N,367579.0
6,521,3,1135,2,2014,12420,Downtown,1Story,Y,344122.0
8,909,1,1434,2,1953,8642,Uptown,1Story,Y,297886.0
4,1394,3,205,1,1960,12542,Downtown,2Story,Y,275615.0
3,1014,1,495,1,1975,6357,Suburb,2Story,Y,187619.0
9,3698,0,1909,3,2010,17599,Rural,SplitLevel,Y,483630.0
3,1308,2,1045,2,1986,15201,Suburb,2Story,Y,238572.0
9,4271,1,212,1,1972,4739,Riverside,2Story,Y,499443.0
2,1373,0,309,3,1989,15231,Uptown,SplitLevel,Y,242546.0
2,513,3,1991,2,1972,11510,Suburb,SplitLevel,Y,207186.0
2,1470,1,271,3,1965,11727,Suburb,Bungalow,Y,232225.0
6,3525,2,1822,1,2010,12635,Suburb,2Story,Y,437250.0
3,3561,3,2079,1,2017,11964,Uptown,1Story,Y,417346.0
9,3583,3,442,2,1980,19261,Downtown,2Story,Y,549768.0
4,2634,0,2209,3,2002,13392,Rural,1Story,N,322174.0
1,4095,1,253,2,1974,14336,Uptown,1Story,N,335204.0
4,3456,3,520,1,1993,13939,Suburb,1Story,Y,365534.0
1,2060,2,976,1,1961,18676,Riverside,Bungalow,Y,260418.0
5,1824,1,9,3,1958,11843,Downtown,SplitLevel,Y,277695.0
4,1766,2,1583,3,1961,14823,Riverside,SplitLevel,Y,308830.0
8,2669,3,2483,3,2018,4686,Downtown,Bungalow,Y,487378.0
8,3718,2,1134,2,2003,2233,Rural,SplitLevel,Y,427912.0
7,4138,0,152,3,2003,16429,Suburb,Bungalow,Y,437312.0
3,1249,2,1658,3,1977,4272,Uptown,2Story,Y,260635.0
1,3927,1,1856,1,2005,19350,Suburb,Bungalow,Y,388327.0
1,1184,2,1214,1,2018,19273,Downtown,SplitLevel,Y,269307.0
3,2427,2,1752,3,2007,5400,Rural,SplitLevel,Y,296159.0
6,4304,0,1104,3,1991,17371,Suburb,2Story,Y,463123.0
7,4202,2,894,1,1987,6542,Rural,Bungalow,Y,426479.0
6,2856,2,1111,3,2017,5523,Riverside,2Story,Y,411229.0
6,1194,3,103,2,2002,5291,Suburb,1Story,Y,279805.0
6,2835,3,1914,2,1982,4488,Suburb,Bungalow,Y,402399.0
3,806,1,1006,2,2020,12892,Downtown,2Story,Y,262315.0
6,4383,3,406,3,2005,3558,Rural,2Story,Y,416855.0
8,4165,3,1401,1,2021,6690,Suburb,SplitLevel,Y,499776.0
2,2489,3,166,3,2000,8121,Suburb,Bungalow,Y,292365.0
5,3461,3,508,3,1992,14198,Downtown,1Story,Y,430924.0
1,4294,0,1661,1,1964,6439,Suburb,1Story,Y,336141.0
1,1161,3,2360,1,1987,19487,Riverside,Bungalow,N,245117.0
5,1048,0,762,1,1964,9520,Suburb,Bungalow,N,215827.0
3,3923,0,680,2,1954,7409,Rural,2Story,Y,320928.0
4,811,3,2120,3,2003,11670,Uptown,SplitLevel,N,277690.0
3,3420,2,1164,1,2000,14106,Uptown,SplitLevel,Y,399059.0
1,1582,0,581,3,1959,13934,Suburb,SplitLevel,Y,196575.0
1,4214,2,261,2,1961,9869,Rural,Bungalow,Y,315271.0
5,3471,2,1363,2,1953,4956,Riverside,SplitLevel,N,387952.0
6,2237,3,1331,1,1967,12766,Downtown,2Story,Y,392439.0
3,1254,1,2292,1,1985,12086,Suburb,Bungalow,Y,276507.0
9,534,3,1538,3,1974,12435,Suburb,Bungalow,Y,328296.0
5,944,1,560,1,1985,18412,Suburb,SplitLevel,Y,237071.0
8,2640,1,1099,3,2016,12255,Suburb,1Story,Y,404910.0
1,2482,3,1903,1,1958,11638,Uptown,1Story,Y,303533.0
5,1730,3,174,3,2010,9756,Downtown,2Story,Y,341196.0
3,852,1,2156,3,2002,13856,Suburb,SplitLevel,Y,249136.0
1,1402,3,2230,3,1967,17764,Rural,SplitLevel,Y,234480.0
4,1855,1,191,3,1992,5602,Suburb,Bungalow,Y,271981.0
5,4388,2,64,2,1984,7062,Uptown,Bungalow,Y,443075.0
7,3409,3,1497,3,2012,13877,Suburb,SplitLevel,Y,498158.0
1,2248,2,1567,1,1953,9244,Riverside,Bungalow,Y,276106.0
3,658,0,1151,2,1990,8372,Suburb,SplitLevel,Y,173429.0
2,2477,2,1937,2,1994,9105,Rural,2Story,Y,254654.0
9,1456,2,368,3,1999,14229,Uptown,Bungalow,Y,372049.0
10,2571,1,850,2,1977,18956,Suburb,SplitLevel,N,430229.0
6,903,2,42,3,1991,9705,Downtown,Bungalow,N,277670.0
10,3352,3,1907,1,2018,15894,Uptown,2Story,Y,529327.0
3,1015,1,77,3,1950,14280,Suburb,Bungalow,Y,201176.0
8,3279,0,1824,2,1988,2614,Riverside,SplitLevel,N,430016.0
8,1887,3,1293,1,1966,6050,Riverside,Bungalow,N,335804.0
2,3953,0,673,3,1984,18709,Suburb,Bungalow,N,372296.0
6,3079,2,700,1,1995,17722,Suburb,SplitLevel,Y,407102.0
7,1455,3,758,1,1991,17210,Suburb,1Story,Y,312023.0
2,2699,3,1923,2,1988,18742,Suburb,Bungalow,Y,342271.0
10,4133,0,901,1,1998,5777,Uptown,Bungalow,Y,496652.0
2,2212,3,992,2,2011,7906,Uptown,2Story,Y,297527.0
10,3494,3,1191,1,1987,3721,Suburb,1Story,Y,491964.0
1,1107,3,2386,3,1972,19733,Downtown,2Story,Y,295955.0
8,4188,2,2240,1,1971,5896,Suburb,SplitLevel,Y,509084.0
1,2967,0,1476,3,1953,8941,Suburb,SplitLevel,Y,287689.0
9,1773,3,2330,3,1998,15464,Uptown,2Story,Y,468839.0
6,3688,1,389,1,2008,7246,Downtown,Bungalow,Y,426731.0
7,3413,1,999,3,2022,10384,Uptown,1Story,Y,453042.0
10,2035,1,524,1,2017,17369,Rural,2Story,Y,333639.0
7,4311,1,1855,1,2020,18475,Uptown,2Story,Y,521522.0
10,3125,2,1506,3,1951,15644,Suburb,SplitLevel,Y,491456.0
3,2882,3,658,3,1998,13108,Rural,Bungalow,Y,320011.0
2,1941,0,890,2,1980,10128,Rural,1Story,Y,197387.0
9,3479,3,1481,3,1989,19459,Uptown,2Story,Y,542521.0
8,2297,2,451,2,1997,10168,Suburb,1Story,Y,377600.0
10,794,1,2475,3,2000,8861,Suburb,1Story,Y,380958.0
7,1254,2,1537,1,1992,10990,Rural,2Story,N,287087.0
9,1894,3,882,3,2004,15750,Downtown,1Story,Y,466003.0
4,685,0,312,1,1998,18988,Suburb,SplitLevel,Y,208887.0
4,1769,2,839,1,2006,4979,Riverside,Bungalow,Y,297493.0
1,1136,0,374,1,1964,9065,Downtown,Bungalow,Y,184607.0
8,1791,2,450,2,1976,6916,Suburb,Bungalow,Y,332136.0
3,4214,0,594,3,2017,2597,Suburb,SplitLevel,N,380006.0
7,3808,0,1233,1,2013,7622,Rural,SplitLevel,Y,427974.0
2,1029,1,499,1,1979,14164,Downtown,SplitLevel,Y,212283.0
2,4123,0,463,2,1985,3699,Rural,Bungalow,Y,306351.0
7,2568,1,112,3,2016,19100,Downtown,1Story,Y,421330.0
6,3458,3,1035,3,1998,15429,Downtown,SplitLevel,Y,487707.0
3,4308,3,2378,2,2004,15796,Uptown,2Story,Y,482576.0
9,3414,1,1924,2,2005,6086,Suburb,SplitLevel,Y,488575.0
10,1293,1,139,3,2017,2665,Riverside,2Story,Y,390601.0
6,4091,2,1424,2,1993,16605,Downtown,Bungalow,N,486709.0
10,2647,2,516,3,1980,19463,Suburb,2Story,Y,460245.0
10,3299,2,1947,3,2007,10419,Downtown,SplitLevel,Y,549923.0
6,977,3,2165,1,2002,17184,Suburb,SplitLevel,Y,318697.0
1,2122,2,887,1,1972,3069,Riverside,1Story,Y,250745.0
4,3869,0,1341,3,1977,7263,Riverside,Bungalow,Y,400607.0
10,1439,0,49,3,1965,18109,Downtown,2Story,Y,390634.0
6,1025,2,18,3,1986,9951,Rural,Bungalow,Y,217882.0
6,2881,0,725,3,1970,14919,Rural,SplitLevel,Y,330251.0
5,501,3,2244,3,1966,3363,Suburb,1Story,Y,273992.0
1,874,0,1473,3,1986,6508,Downtown,SplitLevel,Y,225228.0
8,2840,3,451,2,1968,3755,Riverside,SplitLevel,Y,418144.0
5,3384,1,2336,3,1979,2519,Riverside,SplitLevel,Y,411523.0
5,3552,1,1164,2,1994,13736,Riverside,2Story,N,422823.0
7,1052,1,1107,2,1967,12514,Uptown,SplitLevel,Y,329418.0
4,2865,1,2438,3,2011,16688,Rural,Bungalow,Y,353481.0
6,2025,0,214,3,1985,9233,Suburb,Bungalow,Y,285179.0
4,2351,2,1549,2,2001,3102,Downtown,1Story,Y,363975.0
3,880,0,2262,2,1968,2597,Downtown,Bungalow,Y,257642.0
7,2146,3,127,3,1993,15947,Rural,SplitLevel,N,340203.0
8,513,0,1845,3,1956,14241,Uptown,SplitLevel,Y,334753.0
4,1003,0,759,2,1993,7781,Uptown,Bungalow,N,254456.0
2,2778,3,2451,2,2017,12797,Riverside,1Story,Y,366525.0
10,2508,1,1815,2,1983,8256,Riverside,1Story,Y,455509.0
3,3655,1,2385,1,2015,12380,Riverside,Bungalow,Y,402347.0
1,629,1,360,2,2018,10780,Suburb,2Story,Y,142034.0
8,4314,2,568,1,2004,8554,Uptown,2Story,Y,490209.0
3,1337,3,1415,3,1959,14664,Rural,2Story,N,239286.0
10,3716,3,2265,3,1991,11599,Suburb,2Story,Y,549922.0
7,3438,0,1597,2,1990,17511,Riverside,Bungalow,N,457646.0
10,4428,2,1692,3,2018,6846,Riverside,1Story,N,610023.0
5,2540,1,201,3,1959,8605,Downtown,SplitLevel,N,351826.0
10,527,2,2064,3,1959,12251,Downtown,SplitLevel,Y,371523.0
5,2613,3,2369,3,2009,18043,Rural,Bungalow,Y,397386.0
7,3734,3,517,1,2000,14764,Rural,SplitLevel,Y,408758.0
9,1752,0,1348,1,1970,4986,Riverside,2Story,Y,385024.0
